Question,Gold Standard Entities,Gold Standard Relations,FALCON_Entities,P_E,R_E,FALCON_Relations,P_R,R_R
Who is the youngest player in the Premier League?,['http://dbpedia.org/resource/Premier_League'],"['http://dbpedia.org/ontology/team', 'http://dbpedia.org/ontology/league', 'http://dbpedia.org/ontology/team', 'http://dbpedia.org/ontology/birthDate']",['http://aksw.org/notInWiki/thePremierLeague'],0.0,0.0,[],0,0.0
Which instruments does Cat Stevens play?,['http://dbpedia.org/resource/Cat_Stevens'],['http://dbpedia.org/ontology/instrument'],['http://dbpedia.org/resource/Cat_Stevens'],1.0,1.0,['http://dbpedia.org/ontology/starring'],0.0,0.0
How many rivers and lakes are in South Carolina?,[],[],['http://dbpedia.org/resource/South_Carolina'],1,1,[],1,1
Who was called Rodzilla?,[],['http://xmlns.com/foaf/0.1/nick'],['http://dbpedia.org/resource/Rodzilla'],1,1,[],0,0.0
Give me the capitals of all countries in Africa.,[],['ct:subjec'],['http://dbpedia.org/resource/Africa'],1,1,[],0,0.0
Which bridges are of the same type as the Manhattan Bridge?,[],['http://dbpedia.org/ontology/type'],['http://aksw.org/notInWiki/theManhattanBridge'],1,1,[],0,0.0
How many companies were founded by the founder of Facebook?,['http://dbpedia.org/resource/Facebook'],"['http://dbpedia.org/ontology/foundedBy', 'http://dbpedia.org/ontology/foundedBy']",['http://dbpedia.org/resource/Facebook'],1.0,1.0,['http://dbpedia.org/ontology/foundedBy'],1.0,0.5
Show me hiking trails in the Grand Canyon where there's no danger of flash floods.,"['http://dbpedia.org/resource/Grand_Canyon', 'http://dbpedia.org/resource/Flash_flood']",[],['http://aksw.org/notInWiki/theGrandCanyon'],0.0,0.0,[],1,1
Which book has the most pages?,[],[],[],1,1,[],1,1
What is the largest state in the United States?,[],[],['http://aksw.org/notInWiki/theUnitedStates'],1,1,[],1,1
Give me the websites of companies with more than 500000 employees.,[],['http://dbpedia.org/ontology/numberOfEmployees'],['http://aksw.org/notInWiki/morethan500000'],1,1,[],0,0.0
What were the names of the three ships by Columbus?,[],[],"['http://dbpedia.org/resource/COLUMBUS', 'http://aksw.org/notInWiki/three']",1,1,[],1,1
