Question,Gold Standard Entities,Gold Standard Relations,FALCON_Entities,P_E,R_E,FALCON_Relations,P_R,R_R
What is the founding year of the brewery that produces Pilsner Urquell?,['http://dbpedia.org/resource/Pilsner_Urquell'],"['http://dbpedia.org/property/brewery', 'http://dbpedia.org/ontology/foundingYear']",['http://dbpedia.org/resource/Pilsner_Urquell'],1.0,1.0,"['http://dbpedia.org/ontology/institution', 'http://dbpedia.org/ontology/manufacturer', 'http://dbpedia.org/ontology/producer']",0.0,0.0
When did the Boston Tea Party take place?,['http://dbpedia.org/resource/Boston_Tea_Party'],['http://dbpedia.org/property/date'],['http://dbpedia.org/resource/Boston_Tea_Party'],1.0,1.0,['http://dbpedia.org/ontology/place'],0.0,0.0
Which animals are critically endangered?,[],[],[],1,1,"['http://dbpedia.org/ontology/animal', 'http://dbpedia.org/ontology/principal', 'http://dbpedia.org/ontology/name']",1,1
Which politicians were married to a German?,"['http://dbpedia.org/resource/Germany', 'http://dbpedia.org/resource/Germany']",['http://dbpedia.org/ontology/country'],['http://dbpedia.org/resource/German'],0.0,0.0,"['http://dbpedia.org/property/politician', 'http://dbpedia.org/ontology/spouse', 'http://dbpedia.org/ontology/country']",0.3333333333333333,1.0
How big is the earth's diameter?,['http://dbpedia.org/resource/Earth'],['http://dbpedia.org/ontology/meanRadius'],['http://dbpedia.org/resource/Treytorrens'],0.0,0.0,"['http://dbpedia.org/ontology/ground', 'http://dbpedia.org/ontology/diameter', 'http://dbpedia.org/ontology/country']",0.0,0.0
Is the wife of President Obama called Michelle?,['http://dbpedia.org/resource/Barack_Obama'],['nto:spous'],['http://dbpedia.org/resource/Barack_Obama'],1.0,1.0,['http://dbpedia.org/ontology/spouse'],0.0,0.0
Which U.S. state has the abbreviation MN?,[],[],"['http://dbpedia.org/resource/United_States', 'http://dbpedia.org/resource/MN']",1,1,['http://dbpedia.org/ontology/abbreviation'],1,1
When did Muhammad die?,['http://dbpedia.org/resource/Muhammad'],['http://dbpedia.org/ontology/deathDate'],['http://dbpedia.org/resource/Muhammad'],1.0,1.0,['http://dbpedia.org/ontology/deathDate'],1.0,1.0
What is the atmosphere of the Moon composed of?,['http://dbpedia.org/resource/Moon'],['http://dbpedia.org/property/atmosphereComposition'],['http://dbpedia.org/resource/Moon'],1.0,1.0,"['http://dbpedia.org/ontology/background', 'http://dbpedia.org/ontology/musicComposer']",0.0,0.0
Who is the governor of Texas?,['http://dbpedia.org/resource/Texas'],['http://dbpedia.org/property/governor'],['http://dbpedia.org/resource/Texas'],1.0,1.0,['http://dbpedia.org/ontology/governor'],1.0,1.0
Which movies did Kurosawa direct?,['http://dbpedia.org/resource/Akira_Kurosawa'],[],['http://dbpedia.org/resource/Kiyoshi_Kurosawa'],0.0,0.0,"['http://dbpedia.org/ontology/film', 'http://dbpedia.org/ontology/director']",1,1
What was the name of the famous battle in 1836 in San Antonio?,[],[],['http://dbpedia.org/resource/San_Antonio'],1,1,"['http://dbpedia.org/ontology/name', 'http://dbpedia.org/ontology/motto', 'http://dbpedia.org/property/josiahWillardGibbs(1839–1903)WasAnAmericanScientistWhoMadeImportantTheoreticalContributionsToPhysicsChemistryAndMathematics.HisWorkOnTheApplicationsOfThermodynamicsWasInstrumentalInTransformingPhysicalChemistryIntoA']",1,1
Give me the official websites of actors of the television show Charmed.,['http://dbpedia.org/resource/Charmed'],"['nto:starrin', 'oaf:homepag']",[],0,0.0,"['http://dbpedia.org/ontology/incumbent', 'http://dbpedia.org/ontology/background', 'http://dbpedia.org/ontology/production', 'http://dbpedia.org/ontology/derivative']",0.0,0.0
How many calories does a baguette have?,['http://dbpedia.org/resource/Baguette'],['http://dbpedia.org/property/calories'],[],0,0.0,"['http://dbpedia.org/ontology/approximateCalories', 'http://dbpedia.org/property/gem']",0.0,0.0
Give me all libraries established before 1400.,[],[],[],1,1,"['http://dbpedia.org/property/libraries', 'http://dbpedia.org/ontology/established', 'http://dbpedia.org/property/0–100&nbsp;km/h']",1,1
Give me all Frisian islands that belong to the Netherlands.,['http://dbpedia.org/resource/Netherlands'],[],"['http://dbpedia.org/resource/Frisian_Islands', 'http://dbpedia.org/resource/Netherlands']",0.5,1.0,['http://dbpedia.org/ontology/date'],1,1
Which museum exhibits The Scream by Munch?,['http://dbpedia.org/resource/The_Scream'],['http://dbpedia.org/ontology/museum'],['http://dbpedia.org/resource/The_Scream'],1.0,1.0,"['http://dbpedia.org/ontology/museum', 'http://dbpedia.org/ontology/show']",0.5,1.0
When was the De Beers company founded?,['http://dbpedia.org/resource/De_Beers'],['http://dbpedia.org/ontology/foundingYear'],['http://dbpedia.org/resource/De_Beers'],1.0,1.0,['http://dbpedia.org/ontology/foundationPlace'],0.0,0.0
Who became president after JFK died?,['http://dbpedia.org/resource/John_F._Kennedy'],"['http://dbpedia.org/property/presidentEnd', 'http://dbpedia.org/property/presidentStart']",['http://dbpedia.org/resource/John_F._Kennedy'],1.0,1.0,"['http://dbpedia.org/ontology/president', 'http://dbpedia.org/ontology/deathDate']",0.0,0.0
Who are the parents of the wife of Juan Carlos I?,['http://dbpedia.org/resource/Juan_Carlos_I_of_Spain'],"['http://dbpedia.org/ontology/spouse', 'http://dbpedia.org/ontology/parent']","['http://dbpedia.org/resource/I', 'http://dbpedia.org/resource/Juan_Carlos_I_of_Spain']",0.5,1.0,"['http://dbpedia.org/ontology/parent', 'http://dbpedia.org/ontology/spouse']",1.0,1.0
Who is the novelist of the work a song of ice and fire?,[],['http://dbpedia.org/property/author'],[],1,1,"['http://dbpedia.org/ontology/author', 'http://dbpedia.org/ontology/volume', 'http://dbpedia.org/ontology/anthem', 'http://dbpedia.org/ontology/frozen']",0.25,1.0
In which studio did the Beatles record their first album?,[],[],['http://dbpedia.org/resource/Beatles_VI'],1,1,"['http://dbpedia.org/property/studio', 'http://dbpedia.org/ontology/background', 'http://dbpedia.org/ontology/album']",1,1
Which beer brewing companies are located in North-Rhine Westphalia?,[],[],"['http://dbpedia.org/resource/Museum_of_Beer_and_Brewing', 'http://dbpedia.org/resource/North_Rhine-Westphalia']",1,1,['http://dbpedia.org/property/stand'],1,1
When did princess Diana die?,"['http://dbpedia.org/resource/Diana,_Princess_of_Wales']",['http://dbpedia.org/ontology/deathDate'],['http://dbpedia.org/resource/DiAna_DiAna'],0.0,0.0,['http://dbpedia.org/ontology/leader'],0.0,0.0
Who founded Intel?,['http://dbpedia.org/resource/Intel'],['http://dbpedia.org/property/founders'],['http://dbpedia.org/resource/Intel'],1.0,1.0,['http://dbpedia.org/ontology/foundedBy'],0.0,0.0
Who is the youngest player in the Premier League?,['http://dbpedia.org/resource/Premier_League'],"['http://dbpedia.org/ontology/team', 'http://dbpedia.org/ontology/league', 'http://dbpedia.org/ontology/team', 'http://dbpedia.org/ontology/birthDate']",['http://dbpedia.org/resource/Premier_League'],1.0,1.0,['http://dbpedia.org/ontology/participant'],0.0,0.0
Which instruments does Cat Stevens play?,['http://dbpedia.org/resource/Cat_Stevens'],['http://dbpedia.org/ontology/instrument'],['http://dbpedia.org/resource/Cat_Stevens'],1.0,1.0,"['http://dbpedia.org/ontology/equipment', 'http://dbpedia.org/property/show']",0.0,0.0
How many rivers and lakes are in South Carolina?,[],[],['http://dbpedia.org/resource/South_Carolina'],1,1,"['http://dbpedia.org/ontology/river', 'http://dbpedia.org/ontology/lake']",1,1
Who was called Rodzilla?,[],['http://xmlns.com/foaf/0.1/nick'],['http://dbpedia.org/resource/Rodzilla'],1,1,[],0,0.0
Give me the capitals of all countries in Africa.,[],['ct:subjec'],['http://dbpedia.org/resource/Africa'],1,1,"['http://dbpedia.org/ontology/capital', 'http://dbpedia.org/property/countries']",0.0,0.0
Which bridges are of the same type as the Manhattan Bridge?,[],['http://dbpedia.org/ontology/type'],['http://dbpedia.org/resource/Manhattan_Bridge'],1,1,"['http://dbpedia.org/ontology/bridgeCarries', 'http://dbpedia.org/ontology/type']",0.5,1.0
How many companies were founded by the founder of Facebook?,['http://dbpedia.org/resource/Facebook'],"['http://dbpedia.org/ontology/foundedBy', 'http://dbpedia.org/ontology/foundedBy']",['http://dbpedia.org/resource/Facebook'],1.0,1.0,"['http://dbpedia.org/ontology/partner', 'http://dbpedia.org/ontology/foundationPlace', 'http://dbpedia.org/ontology/founder']",0.0,0.0
Show me hiking trails in the Grand Canyon where there's no danger of flash floods.,"['http://dbpedia.org/resource/Grand_Canyon', 'http://dbpedia.org/resource/Flash_flood']",[],['http://dbpedia.org/resource/Grand_Canyon'],1.0,0.5,"['http://dbpedia.org/ontology/show', 'http://dbpedia.org/property/hikingTrails', 'http://dbpedia.org/ontology/type', 'http://dbpedia.org/property/speed']",1,1
Which book has the most pages?,[],[],[],1,1,['http://dbpedia.org/ontology/production'],1,1
What is the largest state in the United States?,[],[],['http://dbpedia.org/resource/United_States'],1,1,['http://dbpedia.org/ontology/largestCity'],1,1
Give me the websites of companies with more than 500000 employees.,[],['http://dbpedia.org/ontology/numberOfEmployees'],[],1,1,"['http://dbpedia.org/property/websites', 'http://dbpedia.org/ontology/partner', 'http://dbpedia.org/ontology/numberOfEmployees']",0.3333333333333333,1.0
What were the names of the three ships by Columbus?,[],[],['http://dbpedia.org/resource/Columbus'],1,1,"['http://dbpedia.org/ontology/status', 'http://dbpedia.org/ontology/shipDraft']",1,1
